,Score,Metric
0,0.9212598425196851,Accuracy
1,0.9173228346456693,Accuracy
2,0.905511811023622,Accuracy
3,0.9133858267716536,Accuracy
4,0.9173228346456693,Accuracy
5,0.9133858267716536,Accuracy
6,0.9212598425196851,Accuracy
7,0.9094488188976378,Accuracy
8,0.9173228346456693,Accuracy
9,0.905511811023622,Accuracy
10,0.9291338582677166,Accuracy
11,0.9133858267716536,Accuracy
12,0.9330708661417323,Accuracy
13,0.9251968503937008,Accuracy
14,0.9212598425196851,Accuracy
15,0.9133858267716536,Accuracy
16,0.9212598425196851,Accuracy
17,0.9094488188976378,Accuracy
18,0.9173228346456693,Accuracy
19,0.9094488188976378,Accuracy
20,0.9251968503937008,Accuracy
21,0.905511811023622,Accuracy
22,0.9133858267716536,Accuracy
23,0.9212598425196851,Accuracy
24,0.9094488188976378,Accuracy
25,0.9212598425196851,Accuracy
26,0.9015748031496063,Accuracy
27,0.9094488188976378,Accuracy
28,0.889763779527559,Accuracy
29,0.9133858267716536,Accuracy
30,0.905511811023622,Accuracy
31,0.9212598425196851,Accuracy
32,0.9094488188976378,Accuracy
33,0.9094488188976378,Accuracy
34,0.9094488188976378,Accuracy
35,0.9251968503937008,Accuracy
36,0.9094488188976378,Accuracy
37,0.9133858267716536,Accuracy
38,0.9133858267716536,Accuracy
39,0.905511811023622,Accuracy
40,0.9173228346456693,Accuracy
41,0.9173228346456693,Accuracy
42,0.9251968503937008,Accuracy
43,0.9094488188976378,Accuracy
44,0.8937007874015748,Accuracy
45,0.9094488188976378,Accuracy
46,0.9015748031496063,Accuracy
47,0.9133858267716536,Accuracy
48,0.9212598425196851,Accuracy
49,0.9133858267716536,Accuracy
50,0.965034965034965,Sensitivity
51,0.951048951048951,Sensitivity
52,0.9230769230769231,Sensitivity
53,0.9370629370629371,Sensitivity
54,0.9370629370629371,Sensitivity
55,0.9440559440559441,Sensitivity
56,0.958041958041958,Sensitivity
57,0.9230769230769231,Sensitivity
58,0.9370629370629371,Sensitivity
59,0.9370629370629371,Sensitivity
60,0.965034965034965,Sensitivity
61,0.951048951048951,Sensitivity
62,0.972027972027972,Sensitivity
63,0.951048951048951,Sensitivity
64,0.958041958041958,Sensitivity
65,0.9440559440559441,Sensitivity
66,0.9440559440559441,Sensitivity
67,0.9370629370629371,Sensitivity
68,0.951048951048951,Sensitivity
69,0.9440559440559441,Sensitivity
70,0.958041958041958,Sensitivity
71,0.9300699300699301,Sensitivity
72,0.9440559440559441,Sensitivity
73,0.965034965034965,Sensitivity
74,0.9440559440559441,Sensitivity
75,0.965034965034965,Sensitivity
76,0.9230769230769231,Sensitivity
77,0.9370629370629371,Sensitivity
78,0.916083916083916,Sensitivity
79,0.9370629370629371,Sensitivity
80,0.9440559440559441,Sensitivity
81,0.958041958041958,Sensitivity
82,0.9370629370629371,Sensitivity
83,0.958041958041958,Sensitivity
84,0.951048951048951,Sensitivity
85,0.958041958041958,Sensitivity
86,0.951048951048951,Sensitivity
87,0.951048951048951,Sensitivity
88,0.951048951048951,Sensitivity
89,0.9300699300699301,Sensitivity
90,0.951048951048951,Sensitivity
91,0.9370629370629371,Sensitivity
92,0.951048951048951,Sensitivity
93,0.9440559440559441,Sensitivity
94,0.9300699300699301,Sensitivity
95,0.9440559440559441,Sensitivity
96,0.9440559440559441,Sensitivity
97,0.958041958041958,Sensitivity
98,0.951048951048951,Sensitivity
99,0.951048951048951,Sensitivity
100,0.8648648648648649,Specificity
101,0.8738738738738738,Specificity
102,0.8828828828828829,Specificity
103,0.8828828828828829,Specificity
104,0.8918918918918919,Specificity
105,0.8738738738738738,Specificity
106,0.8738738738738738,Specificity
107,0.8918918918918919,Specificity
108,0.8918918918918919,Specificity
109,0.8648648648648649,Specificity
110,0.8828828828828829,Specificity
111,0.8648648648648649,Specificity
112,0.8828828828828829,Specificity
113,0.8918918918918919,Specificity
114,0.8738738738738738,Specificity
115,0.8738738738738738,Specificity
116,0.8918918918918919,Specificity
117,0.8738738738738738,Specificity
118,0.8738738738738738,Specificity
119,0.8648648648648649,Specificity
120,0.8828828828828829,Specificity
121,0.8738738738738738,Specificity
122,0.8738738738738738,Specificity
123,0.8648648648648649,Specificity
124,0.8648648648648649,Specificity
125,0.8648648648648649,Specificity
126,0.8738738738738738,Specificity
127,0.8738738738738738,Specificity
128,0.8558558558558559,Specificity
129,0.8828828828828829,Specificity
130,0.8558558558558559,Specificity
131,0.8738738738738738,Specificity
132,0.8738738738738738,Specificity
133,0.8468468468468469,Specificity
134,0.8558558558558559,Specificity
135,0.8828828828828829,Specificity
136,0.8558558558558559,Specificity
137,0.8648648648648649,Specificity
138,0.8648648648648649,Specificity
139,0.8738738738738738,Specificity
140,0.8738738738738738,Specificity
141,0.8918918918918919,Specificity
142,0.8918918918918919,Specificity
143,0.8648648648648649,Specificity
144,0.8468468468468469,Specificity
145,0.8648648648648649,Specificity
146,0.8468468468468469,Specificity
147,0.8558558558558559,Specificity
148,0.8828828828828829,Specificity
149,0.8648648648648649,Specificity
150,0.9019607843137255,Precision
151,0.9066666666666666,Precision
152,0.9103448275862069,Precision
153,0.9115646258503401,Precision
154,0.9178082191780822,Precision
155,0.9060402684563759,Precision
156,0.9072847682119205,Precision
157,0.9166666666666666,Precision
158,0.9178082191780822,Precision
159,0.8993288590604027,Precision
160,0.9139072847682119,Precision
161,0.9006622516556292,Precision
162,0.9144736842105263,Precision
163,0.918918918918919,Precision
164,0.9072847682119205,Precision
165,0.9060402684563759,Precision
166,0.9183673469387755,Precision
167,0.9054054054054054,Precision
