,Score,Metric
0,0.9173228346456693,Accuracy
1,0.9094488188976378,Accuracy
2,0.9133858267716536,Accuracy
3,0.9212598425196851,Accuracy
4,0.9094488188976378,Accuracy
5,0.9133858267716536,Accuracy
6,0.9291338582677166,Accuracy
7,0.9133858267716536,Accuracy
8,0.9212598425196851,Accuracy
9,0.9173228346456693,Accuracy
10,0.9173228346456693,Accuracy
11,0.9212598425196851,Accuracy
12,0.9291338582677166,Accuracy
13,0.9251968503937008,Accuracy
14,0.9173228346456693,Accuracy
15,0.9133858267716536,Accuracy
16,0.9330708661417323,Accuracy
17,0.9133858267716536,Accuracy
18,0.9173228346456693,Accuracy
19,0.9173228346456693,Accuracy
20,0.9173228346456693,Accuracy
21,0.9251968503937008,Accuracy
22,0.9330708661417323,Accuracy
23,0.9291338582677166,Accuracy
24,0.9173228346456693,Accuracy
25,0.9212598425196851,Accuracy
26,0.9212598425196851,Accuracy
27,0.9330708661417323,Accuracy
28,0.9251968503937008,Accuracy
29,0.9251968503937008,Accuracy
30,0.9133858267716536,Accuracy
31,0.9173228346456693,Accuracy
32,0.9212598425196851,Accuracy
33,0.9251968503937008,Accuracy
34,0.9212598425196851,Accuracy
35,0.9173228346456693,Accuracy
36,0.9173228346456693,Accuracy
37,0.9212598425196851,Accuracy
38,0.9251968503937008,Accuracy
39,0.9291338582677166,Accuracy
40,0.9094488188976378,Accuracy
41,0.9173228346456693,Accuracy
42,0.9251968503937008,Accuracy
43,0.9212598425196851,Accuracy
44,0.9251968503937008,Accuracy
45,0.9251968503937008,Accuracy
46,0.9291338582677166,Accuracy
47,0.9094488188976378,Accuracy
48,0.9133858267716536,Accuracy
49,0.9251968503937008,Accuracy
50,0.9790209790209791,Sensitivity
51,0.9790209790209791,Sensitivity
52,0.958041958041958,Sensitivity
53,0.9790209790209791,Sensitivity
54,0.965034965034965,Sensitivity
55,0.965034965034965,Sensitivity
56,0.993006993006993,Sensitivity
57,0.972027972027972,Sensitivity
58,0.972027972027972,Sensitivity
59,0.965034965034965,Sensitivity
60,0.986013986013986,Sensitivity
61,0.986013986013986,Sensitivity
62,0.9790209790209791,Sensitivity
63,0.9790209790209791,Sensitivity
64,0.965034965034965,Sensitivity
65,0.972027972027972,Sensitivity
66,0.986013986013986,Sensitivity
67,0.958041958041958,Sensitivity
68,0.9790209790209791,Sensitivity
69,0.9790209790209791,Sensitivity
70,0.9790209790209791,Sensitivity
71,0.9790209790209791,Sensitivity
72,0.993006993006993,Sensitivity
73,0.986013986013986,Sensitivity
74,0.958041958041958,Sensitivity
75,0.965034965034965,Sensitivity
76,0.972027972027972,Sensitivity
77,0.993006993006993,Sensitivity
78,0.986013986013986,Sensitivity
79,0.9790209790209791,Sensitivity
80,0.972027972027972,Sensitivity
81,0.9790209790209791,Sensitivity
82,0.986013986013986,Sensitivity
83,0.9790209790209791,Sensitivity
84,0.972027972027972,Sensitivity
85,0.986013986013986,Sensitivity
86,0.986013986013986,Sensitivity
87,0.986013986013986,Sensitivity
88,0.9790209790209791,Sensitivity
89,0.986013986013986,Sensitivity
90,0.965034965034965,Sensitivity
91,0.965034965034965,Sensitivity
92,0.9790209790209791,Sensitivity
93,0.986013986013986,Sensitivity
94,0.986013986013986,Sensitivity
95,0.986013986013986,Sensitivity
96,0.993006993006993,Sensitivity
97,0.9790209790209791,Sensitivity
98,0.965034965034965,Sensitivity
99,0.986013986013986,Sensitivity
100,0.8378378378378378,Specificity
101,0.8198198198198198,Specificity
102,0.8558558558558559,Specificity
103,0.8468468468468469,Specificity
104,0.8378378378378378,Specificity
105,0.8468468468468469,Specificity
106,0.8468468468468469,Specificity
107,0.8378378378378378,Specificity
108,0.8558558558558559,Specificity
109,0.8558558558558559,Specificity
110,0.8288288288288288,Specificity
111,0.8378378378378378,Specificity
112,0.8648648648648649,Specificity
113,0.8558558558558559,Specificity
114,0.8558558558558559,Specificity
115,0.8378378378378378,Specificity
116,0.8648648648648649,Specificity
117,0.8558558558558559,Specificity
118,0.8378378378378378,Specificity
119,0.8378378378378378,Specificity
120,0.8378378378378378,Specificity
121,0.8558558558558559,Specificity
122,0.8558558558558559,Specificity
123,0.8558558558558559,Specificity
124,0.8648648648648649,Specificity
125,0.8648648648648649,Specificity
126,0.8558558558558559,Specificity
127,0.8558558558558559,Specificity
128,0.8468468468468469,Specificity
129,0.8558558558558559,Specificity
130,0.8378378378378378,Specificity
131,0.8378378378378378,Specificity
132,0.8378378378378378,Specificity
133,0.8558558558558559,Specificity
134,0.8558558558558559,Specificity
135,0.8288288288288288,Specificity
136,0.8288288288288288,Specificity
137,0.8378378378378378,Specificity
138,0.8558558558558559,Specificity
139,0.8558558558558559,Specificity
140,0.8378378378378378,Specificity
141,0.8558558558558559,Specificity
142,0.8558558558558559,Specificity
143,0.8378378378378378,Specificity
144,0.8468468468468469,Specificity
145,0.8468468468468469,Specificity
146,0.8468468468468469,Specificity
147,0.8198198198198198,Specificity
148,0.8468468468468469,Specificity
149,0.8468468468468469,Specificity
150,0.8860759493670886,Precision
151,0.875,Precision
152,0.8954248366013072,Precision
153,0.89171974522293,Precision
154,0.8846153846153846,Precision
155,0.8903225806451613,Precision
156,0.8930817610062893,Precision
157,0.8853503184713376,Precision
158,0.896774193548387,Precision
159,0.8961038961038961,Precision
160,0.88125,Precision
161,0.8867924528301887,Precision
162,0.9032258064516129,Precision
163,0.8974358974358975,Precision
164,0.8961038961038961,Precision
165,0.8853503184713376,Precision
166,0.9038461538461539,Precision
167,0.8954248366013072,Precision
168,0.8860759493670886,Precision
