,Score,Metric
0,0.8385826771653543,Accuracy
1,0.8543307086614174,Accuracy
2,0.8346456692913385,Accuracy
3,0.8188976377952756,Accuracy
4,0.8110236220472441,Accuracy
5,0.8070866141732284,Accuracy
6,0.8228346456692913,Accuracy
7,0.8267716535433071,Accuracy
8,0.84251968503937,Accuracy
9,0.8110236220472441,Accuracy
10,0.8070866141732284,Accuracy
11,0.8228346456692913,Accuracy
12,0.8188976377952756,Accuracy
13,0.8464566929133859,Accuracy
14,0.7913385826771654,Accuracy
15,0.8031496062992126,Accuracy
16,0.84251968503937,Accuracy
17,0.8031496062992126,Accuracy
18,0.8385826771653543,Accuracy
19,0.8228346456692913,Accuracy
20,0.8110236220472441,Accuracy
21,0.7795275590551181,Accuracy
22,0.8385826771653543,Accuracy
23,0.8385826771653543,Accuracy
24,0.8267716535433071,Accuracy
25,0.8228346456692913,Accuracy
26,0.8503937007874016,Accuracy
27,0.8307086614173228,Accuracy
28,0.8503937007874016,Accuracy
29,0.7992125984251969,Accuracy
30,0.8110236220472441,Accuracy
31,0.8228346456692913,Accuracy
32,0.8188976377952756,Accuracy
33,0.8228346456692913,Accuracy
34,0.8149606299212598,Accuracy
35,0.8346456692913385,Accuracy
36,0.8346456692913385,Accuracy
37,0.8228346456692913,Accuracy
38,0.8543307086614174,Accuracy
39,0.84251968503937,Accuracy
40,0.8070866141732284,Accuracy
41,0.84251968503937,Accuracy
42,0.8110236220472441,Accuracy
43,0.8188976377952756,Accuracy
44,0.8110236220472441,Accuracy
45,0.8543307086614174,Accuracy
46,0.8385826771653543,Accuracy
47,0.8149606299212598,Accuracy
48,0.8149606299212598,Accuracy
49,0.8188976377952756,Accuracy
50,0.8391608391608392,Sensitivity
51,0.8741258741258742,Sensitivity
52,0.9090909090909091,Sensitivity
53,0.8321678321678322,Sensitivity
54,0.8461538461538461,Sensitivity
55,0.8531468531468531,Sensitivity
56,0.8601398601398601,Sensitivity
57,0.8671328671328671,Sensitivity
58,0.8531468531468531,Sensitivity
59,0.8251748251748252,Sensitivity
60,0.8391608391608392,Sensitivity
61,0.8601398601398601,Sensitivity
62,0.8321678321678322,Sensitivity
63,0.8321678321678322,Sensitivity
64,0.8601398601398601,Sensitivity
65,0.8461538461538461,Sensitivity
66,0.8671328671328671,Sensitivity
67,0.8111888111888111,Sensitivity
68,0.8811188811188811,Sensitivity
69,0.8881118881118881,Sensitivity
70,0.8811188811188811,Sensitivity
71,0.7832167832167832,Sensitivity
72,0.8601398601398601,Sensitivity
73,0.9020979020979021,Sensitivity
74,0.8881118881118881,Sensitivity
75,0.8671328671328671,Sensitivity
76,0.9230769230769231,Sensitivity
77,0.8601398601398601,Sensitivity
78,0.8601398601398601,Sensitivity
79,0.8391608391608392,Sensitivity
80,0.8601398601398601,Sensitivity
81,0.8811188811188811,Sensitivity
82,0.8811188811188811,Sensitivity
83,0.8251748251748252,Sensitivity
84,0.8251748251748252,Sensitivity
85,0.8601398601398601,Sensitivity
86,0.916083916083916,Sensitivity
87,0.8321678321678322,Sensitivity
88,0.8881118881118881,Sensitivity
89,0.8461538461538461,Sensitivity
90,0.8321678321678322,Sensitivity
91,0.9090909090909091,Sensitivity
92,0.8601398601398601,Sensitivity
93,0.8951048951048951,Sensitivity
94,0.8671328671328671,Sensitivity
95,0.8601398601398601,Sensitivity
96,0.8741258741258742,Sensitivity
97,0.8671328671328671,Sensitivity
98,0.7972027972027972,Sensitivity
99,0.8461538461538461,Sensitivity
100,0.8378378378378378,Specificity
101,0.8288288288288288,Specificity
102,0.7387387387387387,Specificity
103,0.8018018018018018,Specificity
104,0.7657657657657657,Specificity
105,0.7477477477477478,Specificity
106,0.7747747747747747,Specificity
107,0.7747747747747747,Specificity
108,0.8288288288288288,Specificity
109,0.7927927927927928,Specificity
110,0.7657657657657657,Specificity
111,0.7747747747747747,Specificity
112,0.8018018018018018,Specificity
113,0.8648648648648649,Specificity
114,0.7027027027027027,Specificity
115,0.7477477477477478,Specificity
116,0.8108108108108109,Specificity
117,0.7927927927927928,Specificity
118,0.7837837837837838,Specificity
119,0.7387387387387387,Specificity
120,0.7207207207207207,Specificity
121,0.7747747747747747,Specificity
122,0.8108108108108109,Specificity
123,0.7567567567567568,Specificity
124,0.7477477477477478,Specificity
125,0.7657657657657657,Specificity
126,0.7567567567567568,Specificity
127,0.7927927927927928,Specificity
128,0.8378378378378378,Specificity
129,0.7477477477477478,Specificity
130,0.7477477477477478,Specificity
131,0.7477477477477478,Specificity
132,0.7387387387387387,Specificity
133,0.8198198198198198,Specificity
134,0.8018018018018018,Specificity
135,0.8018018018018018,Specificity
136,0.7297297297297297,Specificity
137,0.8108108108108109,Specificity
138,0.8108108108108109,Specificity
139,0.8378378378378378,Specificity
140,0.7747747747747747,Specificity
141,0.7567567567567568,Specificity
142,0.7477477477477478,Specificity
143,0.7207207207207207,Specificity
144,0.7387387387387387,Specificity
145,0.8468468468468469,Specificity
146,0.7927927927927928,Specificity
147,0.7477477477477478,Specificity
148,0.8378378378378378,Specificity
149,0.7837837837837838,Specificity
150,0.8695652173913043,Precision
151,0.8680555555555556,Precision
152,0.8176100628930818,Precision
153,0.8439716312056738,Precision
154,0.8231292517006803,Precision
155,0.8133333333333334,Precision
156,0.831081081081081,Precision
157,0.8322147651006712,Precision
158,0.8652482269503546,Precision
159,0.8368794326241135,Precision
160,0.821917808219178,Precision
161,0.831081081081081,Precision
162,0.8439716312056738,Precision
163,0.8880597014925373,Precision
164,0.7884615384615384,Precision
165,0.8120805369127517,Precision
